title1_4,title2_4,title3_4,title4_4,deviceId,channelId,timestamp,cfd_y1,cfd_y2,heigth,baseline,qLong,qShort,psdValue,eventCounter,eventCounterPSD,decimationFactor,postfix1,postfix2,postfix3,postfix4
171,87,70,65,889192462,0,3662348574640,9,-5,2037,-38,8602,6926,6384,7668,0,0,87,70,80,187
171,87,70,65,889192462,0,3662362767576,12,-40,301,-38,1404,1274,3033,7670,0,0,87,70,80,187
171,87,70,65,889192462,0,3662370165688,10,-1,1086,-38,4839,3688,7793,7672,0,0,87,70,80,187
171,87,70,65,889192462,0,3662390765376,2,-129,155,-38,832,710,4804,7674,0,0,87,70,80,187
171,87,70,65,889192462,0,3662393921992,2,-129,452,-38,2083,1754,5175,7676,0,0,87,70,80,187
171,87,70,65,889192462,0,3662407356784,2,-129,720,-38,3274,2794,4803,7678,0,0,87,70,80,187
171,87,70,65,889192462,0,3662418112992,10,-56,132,-38,696,629,3154,7680,0,0,87,70,80,187
171,87,70,65,889192462,0,3662433373608,11,-1,740,-38,3247,2559,6942,7682,0,0,87,70,80,187
171,87,70,65,889192462,0,3662434015616,11,-1,251,-38,1279,1074,5251,7684,0,0,87,70,80,187
171,87,70,65,889192462,0,3662444760920,11,-1,603,-38,2755,2328,5078,7686,0,0,87,70,80,187
171,87,70,65,889192462,0,3662451478936,11,-1,758,-38,3479,2863,5801,7688,0,0,87,70,80,187
171,87,70,65,889192462,0,3662455461672,10,-2,1311,-38,5684,4550,6537,7690,0,0,87,70,80,187
171,87,70,65,889192462,0,3662457467088,10,-2,602,-38,2771,2361,4848,7692,0,0,87,70,80,187
171,87,70,65,889192462,0,3662458474200,10,-2,278,-38,1318,1196,3033,7694,0,0,87,70,80,187
171,87,70,65,889192462,0,3662469947704,5,-6,538,-38,2491,2121,4867,7696,0,0,87,70,80,187
171,87,70,65,889192462,0,3662483145464,0,-47,1094,-38,4837,3706,7661,7698,0,0,87,70,80,187
171,87,70,65,889192462,0,3662484266168,18,-2,603,-38,2670,2202,5743,7700,0,0,87,70,80,187
171,87,70,65,889192462,0,3662496415040,18,-2,226,-38,1145,968,5065,7702,0,0,87,70,80,187
171,87,70,65,889192462,0,3662509267320,7,-67,229,-38,1166,991,4917,7704,0,0,87,70,80,187
171,87,70,65,889192462,0,3662510975744,12,-1,1312,-38,5747,4718,5866,7706,0,0,87,70,80,187
171,87,70,65,889192462,0,3662524045112,12,-7,315,-38,1498,1294,4462,7708,0,0,87,70,80,187
171,87,70,65,889192462,0,3662528245800,13,-1,278,-38,1359,1184,4219,7710,0,0,87,70,80,187
